
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nova
dialog_load                             Ŝarĝi
dialog_save                             Konservi
dialog_saveas                           Konservi kiel
dialog_delete                           Forigi
dialog_width                            Larĝeco
dialog_height                           Alteco
dialog_name                             Nomo
dialog_type                             Tipo
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                L
dialog_h                                A
dialog_exit                             Eliri
dialog_cancel                           Nuligi
dialog_ok                               Bone
dialog_open                             Malfermi
dialog_close                            Fermi
dialog_closed                           Fermita
dialog_add                              Aldoni
dialog_up                               Supren
dialog_down                             Malsupren
dialog_yes                              Jes
dialog_no                               Ne
dialog_loading                          Ŝarĝas ...
dialog_low                              Malalte
dialog_medium                           Meze
dialog_high                             Alte
dialog_none                             Nenio
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Dialogredaktilo
dialogeditor_back                       Reen
dialogeditor_front                      Malfono
dialogeditor_reloadlanguage             Reŝarĝi lingvon
dialogeditor_test                       Testi
dialogeditor_window                     Fenestro
dialogeditor_grid                       Krado
dialogeditor_caption                    Kapvorto
dialogeditor_component                  Komponento
dialogeditor_select						Elekti
dialogeditor_create						Krei
dialogeditor_background                 Fonbildo
dialogeditor_panel                      Panelo

dialogcomponent_custom                  Laŭmende
dialogcomponent_button                  Butono
dialogcomponent_container               Ujo
dialogcomponent_caption                 Kapvorto
dialogcomponent_titlecaption            Titolkapvorto
dialogcomponent_checkbox                Markobutono
dialogcomponent_inputfield              Enigkampo
dialogcomponent_inputslider             Enigŝovilo
dialogcomponent_dropdownmenu            Menuo
dialogcomponent_selectionlist           Elektlisto
dialogcomponent_selectionlistitem       Elektlistano
dialogcomponent_scrollbar               Rulumskalo
dialogcomponent_progressbar             Plenumskalo
dialogcomponent_canvas                  Areaĵo
dialogcomponent_iconbox					Ikonujo

dialogposition_absolute                 Absolute
dialogposition_relative                 Relative
dialogposition_scaled                   Skalite


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Testilo
profiler_name                           Nomo
profiler_timings                        Horoj
profiler_totaltime                      Totalo
profiler_glfinishcaption                glFino
profiler_reset                          Restarti


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Sonkanaloj
soundeditor_title                       Sonredaktilo
soundinstanceeditor_title				Sonaperredaktilo

soundeditor_positiontitle		        Pozicitipo
soundeditor_instancetitle		        Apertipo
soundeditor_looptitle			        Iteracitipo
soundeditor_sourcetypetitle		        Sontipo
soundeditor_soundnametitle		        Sonnomo

soundeditor_volumetitle			        Sonforteco
soundeditor_frequencytitle              Frekvenso
soundeditor_mindistancetitle            Min. distanco
soundeditor_attacktitle                 Atako
soundeditor_sustaintitle                Subteno
soundeditor_releasetitle                Liberigo
soundeditor_loopdelaytitle              Iteraciprokrasto
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Venonta okazaĵo

soundeditor_play                        Ludi
soundeditor_stop                        Ĉesigi

soundparametereditor_title              Sonparametro
soundparametereditor_typetitle          Tipo
soundparametereditor_linktitle          Ligita al
soundparametereditor_updatetitle        Ĝisdatigtipo
soundparametereditor_smoothing          Glatigo
soundparametereditor_chaintitle         Ĉeno

soundeditor_newdsp                      Aldoni je DSP
sounddspeditor_title                    DSP-redaktilo
samplebankeditor_title                  Sonpecujredaktilo
samplebankeditor_addsample              Aldoni sonon
samplebank                              (Sonpecujo)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Finite
interfacemode_destroy                         Detrui
interfacemode_foundations				      Fundamento
interfacemode_construction                    Materialoj
interfacemode_planning                        Planado
interfacemode_objects                         Objektoj
interfacemode_designation                     Ĉambroj
interfacemode_utilities                       Utilecoj
interfacemode_staff                           Dungitaro
interfacemode_deployment                      Deplojado
interfacemode_logistics                       Loĝistiko
interfacemode_prisoners                       Malliberuloj
interfacemode_needs                           Bezonoj
interfacemode_threats                         Minacoj
interfacemode_overlays                        Surmetoj
interfacemode_research                        Burokatrio
interfacemode_emergencies                     Krizoj
interfacemode_clone                           Kloni
interfacemode_contraband                      Spionservo
interfacemode_grading                         Rangigo
interfacemode_spawn                           (Aperigo)
interfacemode_properties                      (Detaloj)
interfacemode_cutscenes                       (Tranĉscenoj)
interfacemode_selection                       Elekti
interfacemode_prefabs                         Rapidkonstruo

interfaceoverlay_security                       Sekureco
interfaceoverlay_patrols                        Patrolo
interfaceoverlay_decay                          Kaduko
interfaceoverlay_territory                      Teitorio
interfaceoverlay_contraband                     Kontrabando

interfaceproperty_indoor                        Enterne
interfaceproperty_visible                       Videble
interfaceproperty_territoryprisoner             Bandoj
interfaceproperty_territoryguard                Gardistoj
interfaceproperty_sectorprisoner                Tumultado
interfaceproperty_tunnel                        Tunelo

interfacedeployment_guards                      Gardistoj
interfacedeployment_patrols                     Gardistpatroloj
interfacedeployment_dogpatrols                  Hundpatroloj
interfacedeployment_armedpatrols                Armitaj patroloj
interfacedeployment_removeguards                Forigi gardistojn
interfacedeployment_clearpatrols                Klarigi patrolojn
interfacedeployment_targetting                  Loĝistiko
interfacedeployment_targettingfood              Manĝloĝistiko
interfacedeployment_targettinglaundry           Lavejloĝistiko
interfacedeployment_securearea                  SekuraAreo
interfacedeployment_sharedzone                  Dividita
interfacedeployment_staffonlyzone               Nur dungitaro
interfacedeployment_maxseczone                  Nur maks. sekureco
interfacedeployment_medseczone                  Nur meza sekureco
interfacedeployment_minseczone                  Nur min. sekureco
interfacedeployment_protectedzone               Nur protektitoj
interfacedeployment_supermaxzone                Nur super maks. sekureco
interfacedeployment_deathrowzone                Nur mortvicanoj
interfacedeployment_unlockedzone                Malŝlosita
interfacedeployment_zonered                     Ruĝa flanko
interfacedeployment_zonegreen                   Verda flanko
interfacedeployment_zoneblue                    Blua flanko
interfacedeployment_zoneyellow                  Flava flanko

interfacelogistics_jobs                         Malliberejlaboro
interfacelogistics_removejobs                   Forigi laboron
interfacelogistics_targettingfood               Manĝdistribuo
interfacelogistics_targettinglaundry            Lavaĵdistribuo
interfacelogistics_roomquality                  Ĉambrokvalito
interfacelogistics_weathermap                   Temperaturo

interfaceplanning_wall							Muroj
interfaceplanning_object						Objektoj
interfaceplanning_route							Vojetoj
interfaceplanning_clear							Klarigi
interfaceplanning_zone1							Zono 1
interfaceplanning_zone2							Zono 2
interfaceplanning_zone3							Zono 3
interfaceplanning_zone4							Zono 4
interfaceplanning_zone5							Zono 5
interfaceplanning_zone6							Zono 6
interfaceplanning_zone7							Zono 7
interfaceplanning_zone8							Zono 8
interfaceplanning_zone9							Zono 9

interfacecontraband_source                      Danĝeroj
interfacecontraband_day                         -24 horoj
interfacecontraband_week                        -7 tagoj
interfacecontraband_alltime                     -30 tagoj
interfacecontraband_informants                  Informantoj
interfacecontraband_gangs                       Bandoj

interfacecallout_fireengine                     Pumpkamiono
interfacecallout_riotpolice                     Kontraŭtumultpolico
interfacecallout_armedpolice                    Armita polico
interfacecallout_paramedics                     Savistoj
interfacecallout_soldiers                       Soldatoj

interfaceclone_copy                             Kopii
interfaceclone_paste                            Alglui
interfaceclone_cancel                           Nuligi rapidkonstruon
interfaceclone_clone                            Kloni

interfacetopbar_todo							Endaĵoj
interfacetopbar_balance							Mono *B
interfacetopbar_budget							Nete *C
interfacetopbar_income							Enspezoj *I
interfacetopbar_expenses						Elspezoj *C
interfacetopbar_day								TAGO *D

interfacetopbar_title_balance					Bankbilanco
interfacetopbar_title_budget					Ĉiutaga netenspezo
interfacetopbar_title_cctv						Gvatkamerao
interfacetopbar_title_day						Tago
interfacetopbar_title_prisoners					Malliberuloj
interfacetopbar_title_guards					Gardistoj
interfacetopbar_title_tension                   Danĝero

interfacetopbar_tooltip_balance					Kiom da mono vi havas en la banko.\n\nAlklaku por kolekti pli da mono per la Stipendiaro.
interfacetopbar_tooltip_budget					La kvanto da mono kiun vi ĉiutage ricevos bazitan de via nunaj elspezoj kaj enspezoj.\n\nAlklaku por aliri detaljan financan superrigardon de enspezoj kaj elspezoj.
interfacetopbar_tooltip_cctv					La nombro da gvatkameraoj kaj ekranoj kiujn vi nune havas.
interfacetopbar_tooltip_day						Dum kiom longe vi regis vian malliberejon.
interfacetopbar_tooltip_prisoners				La nombro da malliberuloj kiujn vi nune havas, kaj kiom vi povas havi, en via malliberejo.
interfacetopbar_tooltip_guards					Kiom da gardistoj haveblas al vi por laboro en via malliberejo.
interfacetopbar_tooltip_tension                 La entuta danĝernivelo de via malliberejo laŭ via sekurecestro.

interfacetopbar_tooltip_recenttransactions      Lastatempaj transakcioj

interfacetopbar_tooltip_gametime                Totala tempo ludita : *X horoj, *Y minutoj, *Z sekundoj

interfacetopbar_tooltip_totalguards             *X Gardistoj totale
interfacetopbar_tooltip_guardincapacitated      *X Senkapabligitaj
interfacetopbar_tooltip_guardstationed          *X Postenigitaj
interfacetopbar_tooltip_guardpatrolling         *X Patrolantaj
